Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-Richmond Hill-004,Richmond Hill,Ontario, Funding for incentive programs. - Adopt a net-zero building standard that includes specifications for rooftop solar.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Planned,,,,,,,,,
ID-Richmond Hill-005,Richmond Hill,Ontario, Pilot a Bulk Retrofit Program for an older housing block with multiple parcels. Promote conversion of housing to multifamily. Target social or lowincome housing,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",Yes,Yes,Planned,,,,,,,,,
ID-Richmond Hill-006,Richmond Hill,Ontario,"Feasibility study on rooftop structures and ability to support landscaping - .Require new multi-residential developments to have a green roof, then move to single detached housing where appropriate",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Planned,,,,,,,,,
ID-Richmond Hill-007,Richmond Hill,Ontario,"Update to Zoning By-law/ Sustainability Metrics - Require new multi-residential developments to have a green roof, then move to single detached housing where appropriate",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Planned,,,,,,,,,
ID-Richmond Hill-008,Richmond Hill,Ontario,"Addition to PACE financing or incentive programs -Require new multi-residential developments to have a green roof, then move to single detached housing where appropriate",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Planned,,,,,,,,,
ID-Richmond Hill-009,Richmond Hill,Ontario, Publish energy performance and GHG emissions reduction updates on different neighbourhoods,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned,,,,,,,,,
ID-Richmond Hill-010,Richmond Hill,Ontario," Increased funding mechanisms for efficient, zeroemissions homes.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Planned,,,,,,,,,
ID-Richmond Hill-011,Richmond Hill,Ontario," Adopt benchmarking, rating, and disclosure policies for large buildings.",Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,Yes,Planned,,,,,,,,,
ID-Richmond Hill-012,Richmond Hill,Ontario," Adopt benchmarking, rating, and disclosure policies for large buildings.",Mandates,Mandate Reporting,Require building rating system,No,Yes,Planned,,,,,,,,,
ID-Richmond Hill-013,Richmond Hill,Ontario," Adopt benchmarking, rating, and disclosure policies for large buildings.",Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,Yes,Planned,,,,,,,,,
ID-Richmond Hill-014,Richmond Hill,Ontario, Invest in opportunities for solar PV on parking lots and on large buildings,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,Yes,Yes,Planned,,,,,,,,,
ID-Saint John-001,Saint John,New Brunswick,"In the community, voluntary conversions and those made through information, awareness and incentive campagisn reduce electricty consumption. It is assumed 60% of the incandescent bulbs will be replaced by LED bulbs by the end of this action plan.",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Saint John-002,Saint John,New Brunswick,"Saint John wishes to inrease use of cleaner sources of energy. The municipality plans to run a survey on old heating system users for a better understanding of their number, needs, and demands, ",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Saint John-003,Saint John,New Brunswick,Saint John wishes to promote simple yet efficient measures that will reduce energy costs and carbon footprint of its citizens. Clothes lines have multiple advantages.,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Saint John-004,Saint John,New Brunswick,Saint John Energy Targets and Initiatives - Offer products that allow subscribing customers to reduce energy usage by 10% by 2025. The load reduction targets will be achieved by installing more efficient energy products in bundles at customers' homes,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Saint John-005,Saint John,New Brunswick,Saint John Energy Targets and Initiatives - Offer products that allow subscribing customers to reduce energy usage by 10% by 2025. The load reduction targets will be achieved by installing more efficient energy products in bundles at customers' homes,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Saint-Laurent-001,Saint-Laurent,Québec,Renovate the roofs of six municipal buildings according to the principles of pale and green roofs in compliance with zoning regulations,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Complete,,,,,,,,,
ID-Saint-Laurent-002,Saint-Laurent,Québec,Green the south wall of the Ateliers municipaux.,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Complete,,,,,,,,,
ID-Saint-Laurent-003,Saint-Laurent,Québec,Obtain BOMA BEST certification for the borough's City Hall.,Mandates,Mandate Reporting,Require building rating system,No,No,Complete,,,,,,,,,
ID-Saint-Laurent-004,Saint-Laurent,Québec,Encourage homeowners to participate in oil conversion programs. ,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Complete,,,,,,,,,
ID-Saint-Laurent-005,Saint-Laurent,Québec,Encourage companies heating with natural gas to switch to biogas. ,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Complete,,,,,,,,,
ID-Saint-Laurent-006,Saint-Laurent,Québec,"Diagnose the institutions, businesses and industries (ICI) that use fuel oil as an energy source.  ",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Complete,,,,,,,,,
ID-Saint-Laurent-007,Saint-Laurent,Québec,"Encourage green roofs and green walls in institutions, businesses and industries (ICI)*. ",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote “cool roofs” — coating of rooftops white to reduce building energy use — and other low-cost approaches,No,No,Complete,,,,,,,,,
ID-Saint-Laurent-008,Saint-Laurent,Québec,Encourage the installation of electric charging stations for all types of new construction or major renovations. ,Action under consideration by municipality - not enough information to code.,,,No,No,Complete,,,,,,,,,
ID-Saint-Laurent-009,Saint-Laurent,Québec,Eliminate fuel oil as an energy source in all municipal buildings,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing,,,,,,,,,
ID-Saint-Laurent-010,Saint-Laurent,Québec,Promote existing energy-saving programs,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing,,,,,,,,,
ID-Saint-Laurent-011,Saint-Laurent,Québec,Reduce the overall energy consumption of municipal buildings. ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing,,,,,,,,,
